individu,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,Dim11,Dim12,Dim13,Dim14,Dim15,Dim16,Dim17,Dim18,Dim19,Dim20,Dim21,Dim22,Dim23,Dim24,Dim25,Dim26,Dim27,Dim28,Dim29,Dim30,Dim31,Dim32,Dim33,Dim34,Dim35,Dim36,Dim37,Dim38,Dim39,Dim40,Dim41,Dim42,Dim43,Dim44,Dim45,Dim46,Dim47,Dim48,Dim49,Dim50,Dim51,Dim52,Dim53,Dim54,Dim55,Dim56,Dim57
1,-0.006603390810265347,-0.06645796181118353,-0.4215757025616083,0.1634495215906555,-0.49564792460987234,0.09277539787241512,-0.18946737827271282,0.09644121536893337,-0.21262180787552326,0.9232086566822536,0.4020901874895056,0.16430092907854885,0.010621321268016253,-0.2868157236519843,0.06427195013981334,-0.023630070898741175,-0.2311582859089676,0.09870769313961007,-0.048010677623479825,0.3047283521430812,0.1700828418695125,0.08478017971765313,0.031216160767803338,-0.3474414693672736,0.10686800944038372,-0.05697204544711422,-0.05778510148142432,0.09463800151863185,-0.0950051475968502,0.03043564424690626,-0.00402875471488165,0.01771109460626006,0.09929576189231104,-0.015516639921912862,-0.027580972767258752,0.36308496912839167,-0.021849674552828352,0.08964292219408342,0.024496577195824,-0.032951010639197115,0.026395615726574347,0.039467894711302694,-0.07068936069966567,-0.062464489478191935,0.041971543015349444,0.1982413551395915,0.15167158454487156,0.04515527338228618,0.1358077819645789,0.00559510060842291,-0.0018813004007474385,0.004861646189751758,-0.004450455932632991,0.002520222304366317,-0.0019463134228619326,-0.9382724045038235,0.023060957746386956
2,0.29567966238462723,-0.16845969863865176,-0.17844717772934954,0.3475041298486338,0.12965088921498513,0.06718178872721045,-0.06178483416851124,0.43009273847159896,0.19291427525185895,-0.12161724715390383,0.07267184231626421,-0.04494001845109892,-0.17215268232460576,-0.30604038514273507,-0.2985534263202231,0.08715153127991596,0.36167957329544803,0.03733044047349651,0.26972482811726095,-0.030067678191523218,0.10484917724239033,-0.018538805481252918,-0.006075805832653159,-0.31598868007289677,0.013810004201853859,-0.21693364584223132,0.09389877518522202,-0.06521496634377552,0.18774304345668785,-0.07140077272768827,-0.12102208648122031,-0.03004407284280511,-0.023600119119169673,0.00862124172837218,-0.1789170066162363,0.015086408860027966,0.010636586602946401,0.12496674525528773,-0.1225786340069129,-0.07801274420355885,0.14764735410146043,0.1262538732245666,0.04467841265831423,0.206528380254694,0.03453982223060049,-0.12162827797988833,0.048563509444576804,-0.013356221521877546,0.05897152960196869,-0.0010842800607304434,0.005236917062661012,-0.0018144098100801524,-0.0024416382308859214,0.0011504808785353254,-0.0005634489170751153,-0.9382724045038234,0.02306095774638668
3,0.34762907462956166,-0.23999792300044057,-0.34734742150890224,0.15587305247091363,-0.43386017148492595,0.10801689430926303,-0.07595999696644716,0.05001535248603615,-0.11851469943131489,0.4441458534678849,0.1365883197024387,-0.18445971679356649,0.4752643410007439,0.29510223601110896,-0.2181375352639298,-0.2083967581829762,0.2180897970922609,-0.029765374754913834,0.3262905880925111,-0.2775347605586571,-0.03720861773742715,-0.34108951561818246,0.01922400856473659,-0.08031503425078122,0.05872394765640507,-0.11397328498386539,0.29845941974489704,0.23561340651777007,-0.10754581697208468,-0.07176086503270086,-0.046783147340813167,-0.15754842398843538,0.055029338374331056,0.08979886418466008,-0.1883971344520014,-0.04476275845064847,0.22652578179144572,0.29424186831800864,-0.16164024788067985,-0.10621822596582711,0.19801361182715232,0.09976870993518701,0.12742919712088455,0.06853289766202782,-0.06628760619572119,-0.014099207202603605,-0.04490630976563567,0.055144495825284856,0.02415396830594639,0.005321128786171172,-0.001189469606258522,0.0017518065949602714,-0.008544628844724747,0.003359464219088002,0.002612418823793113,-0.9382724045038233,0.023060957746386737
4,-0.43116938753852646,-0.0817839302748314,0.41735725786402683,-0.1443800834486555,-0.08527895848422581,0.1522034199695149,0.16884896416730916,-0.026368312376136228,0.26018632241668355,-0.22644778266853596,0.11407522817576968,-0.1918632479462287,0.08112587459066156,0.15085943863837087,0.11829802093290946,-0.15708466211565256,0.32880067764398785,-0.15723945096128905,-0.07327181238097628,0.09306299006007678,-0.05605222433341475,-0.026479641220470862,-0.10407673890555615,0.01952664712199173,-0.10647498163564409,-0.0010709112234001065,-0.14576437726868205,0.1851735367450093,-0.035905323659342236,0.13121196276586236,-0.225943422975933,-0.05158485587763288,0.1284176827220604,-0.31860591486537204,0.16848018013072108,0.15868405162913116,0.05836501015159377,-0.18834851705982464,0.007674301996237371,0.1295531377675437,-0.08030237211924358,-0.08061508448565625,-0.23029555034208926,-0.08775429435747101,0.11872747164010083,0.06601501420827285,0.052297128304807344,-0.07040841844379166,0.09827297637433399,0.004168496739820809,-0.003994467758595902,0.0028222052527144296,-0.0008211140765344197,0.0004751373051037082,-0.00045436399026688276,-0.9382724045038234,0.023060957746386876
5,-0.04759073747083917,-0.30690326599368456,-0.11792990506915735,0.36835330904053737,0.23477169612117754,-0.23150141223858242,-0.061278880231810634,0.14293347957373767,0.3963307090974192,0.031871410558413686,-0.17899620375105613,0.007349215593202871,-0.15775371587091552,-0.05410980835132656,-0.3190678261659825,0.050323120395279246,-0.016991269857506257,0.10533848214473497,-0.24157671198716596,0.03611054319237302,0.09709568243603219,0.00819453284381536,0.24234515624016953,-0.008051677344368196,-0.05865988765166438,0.11588770690429345,-0.19180282065210472,0.17038989229022158,0.030800009910168555,-0.15637918205373788,0.23327813787200308,-0.0936994270832856,0.08702829737723541,-0.019931333270893574,0.016332461115651745,-0.020736045394040187,0.059461073535517016,0.10539266556251986,0.07006977095342609,0.1802528860053931,0.08076489344426341,-0.19506517157799722,-0.018043186205248498,-0.030067416612333205,-0.10446788644476485,0.018021216065473022,-0.07146236960130582,-0.03900956066899079,-0.0040456651235173564,0.001840637815118005,-0.008195389126001656,-0.0018264339608660078,0.002531730113410287,-0.0025162774994198617,0.0015424764881697864,-0.9382724045038233,0.023060957746386647
6,-0.3889136463452577,-0.10956574971933693,-0.015154182829106418,-0.25831103949208695,0.036859167491046056,-0.05924769779549137,-0.0790609756533974,-0.19988907288654773,-0.0394467202388974,-0.19129052279320563,-0.09784272476886208,0.12480421194829386,0.025031858430442457,0.14040198324713524,-0.16632418135617544,0.11537330655835383,-0.010392363394713701,0.12162251572903335,0.10806802635220156,-0.24303250395884135,0.10733465145036437,-0.06562798963228289,-0.032958923207610236,-0.03131886522580257,0.016369249025232274,-0.03332144240989881,-0.18605654386469667,-0.08068407602321091,-0.14610981462266542,0.0175117730076681,0.14555915923415427,0.07901863811178866,-0.31559198242219977,0.07468084085104056,-0.03267501415054477,-0.13624637594668465,0.05870705478940077,0.03923838983793788,-0.15021355091996755,0.09673161768432988,0.12767384107799334,0.004484034574973054,0.06884163687100366,-0.09147162933707531,-0.016534282644049412,0.026230236555736558,0.09312821566366584,0.13176914083862554,0.15072403115008698,0.0060302307701497315,-0.014144191583830025,-0.0001777383498559612,-0.0006928841207636994,-0.0024719322128830177,-0.005860479849825602,-0.9382724045038232,0.023060957746386727
7,0.2947982702177409,-0.02635937965521968,-0.1751978199777747,-0.12288274879156584,-0.10518834241269462,-0.35895649320918044,-0.1340374722410948,-0.33177985924140857,0.3189708168889121,0.053392023146787725,-0.04272158737401268,-0.029953352661529254,0.2088589482378417,-0.1328016260759597,0.08456260590259873,0.2107139602367033,0.06246572303676531,-0.07313423995079153,-0.11718018455050883,-0.03751305376049621,-0.0022228344623686433,0.06822484132713053,-0.1372475852516259,-0.018652869279570914,-0.051786968828650554,0.18057025076668648,0.05085692898708922,0.07579303368752577,0.029603189904272593,0.11833164078061173,0.018083359422728124,-0.014442302464503847,-0.07016034452252413,-0.007052535751456779,0.13567504065038308,-0.17637634371792563,0.17862040659562603,-0.06823148108644674,-0.06400687985292879,-0.17729080769220168,0.041907241351970936,0.059838549842286884,0.04990061890899498,-0.0963253457769583,-0.060355485725854946,-0.0557266009973894,-0.062155133644599764,0.09052703219912873,0.02065330427222555,-0.000713746508499947,0.0023466531066216167,-0.002586356332080029,-0.0036353513735172646,0.0006381710540446111,-0.0024011984208251774,-0.9382724045038234,0.02306095774638669
8,-0.2701242201886011,-0.19331028208718443,-0.3046367604630281,0.42881210447511453,-0.41751276313763047,0.0890701165649124,-0.26772582872927186,-0.01389240741246372,-0.1817460529519673,0.7918599811455158,0.049651500416954576,0.24983073627248928,-0.02322778115053549,-0.3045445717169436,-0.038347326842616075,-0.04493197612663911,-0.1974690374137636,0.05688926631518594,-0.293670922063922,0.2440043689360244,-0.1666030939363139,-0.026878661388355863,-0.0811686370000531,-0.2960114332110685,0.11655540649810434,0.10014296124666429,-0.2600225090614587,0.06428980588585632,-0.08195009669970867,-0.08686654464400112,0.018161965827493288,0.021223275534054658,0.16419528224633362,-0.12697473468307477,0.10959777391010525,0.1280656743852762,-0.05820787478180076,-0.12040452576037596,0.013631624347900507,-0.10070307214124652,-0.08179397651816905,-0.14242568758363292,-0.11754023207914671,-0.11873631383229402,0.04883725154309046,0.12571695917976872,0.10050621665614187,0.10485391332151159,0.07199813653572366,0.004180934134144014,0.0031984716742658277,0.0023902914133398425,-0.008134903829264031,0.0038548946964493585,-0.0011029154868128026,-0.9382724045038235,0.023060957746386817
9,-0.09092961909282943,-0.22828974904611474,0.07468871411121332,0.09074346592404241,-0.18400143564139038,-0.42262658009431775,-0.3207954393582853,-0.3093535014053629,0.14914923176336048,0.03391402866538996,-0.2966808337629405,-0.01649760196290951,-0.02445341516289061,0.1508828361295391,0.07591657398406837,0.36232477654450546,-0.07065913970366078,0.2657567929073795,-0.009292761299087158,-0.00024075365503360252,-0.05260710857704105,-0.1512638863358,-0.01563197120691772,-0.18989979848649935,0.2443084509337975,-0.0423551356429487,-0.11305585512995135,-0.04370673618192914,0.05722626403626713,0.06665322419802208,-0.013294014414614285,-0.09172743565432558,0.03594279424133568,-0.09219930460069055,0.15929588145505122,0.027400459883879142,0.05050323279331501,0.024967588862327333,-0.3010487901551257,0.14944483277680276,0.037833610802551466,0.16917353237210134,-0.0845359467561871,-0.0411589120323122,0.012020297382541482,0.0025751878889338966,-0.03896490082318365,0.008266089482685911,0.05202027319605791,0.003818852492809414,-0.012194412824519439,-0.0021303327491355934,-8.653550397187394e-05,-0.002704549954061231,-0.0027150163503744007,-0.9382724045038232,0.023060957746386848
10,-0.26865351821927125,-0.0637827727770654,-0.031417404049910044,-0.10141605147493045,0.07288409333288091,-0.0029222005566375228,-0.17545424469390328,-0.21048285944662753,0.02578820257523012,-0.12686370728231391,-0.18227917441632158,-0.01615302733275221,-0.08837240463077865,-0.07831821259157007,-0.17163768028475787,0.07679766835517511,0.08571040293320409,0.09440009415633614,-0.2303516754190508,-0.09598520274606588,-0.0799364867195597,-0.16565480173461017,0.09283744762281505,-0.029600037413586733,0.034910432407068516,0.15595944587542918,-0.1045876310620443,0.09644814454882716,0.2398068128400712,-0.05182683553908937,-0.03534063906920567,-0.005441794495113674,0.04501478048139415,0.002234299183687293,0.17190196119112316,-0.010942366863124215,0.07825158184661558,0.1753890805057441,0.16056022106355056,0.07851243439724956,-0.12925639957144258,0.17481002583505803,0.04374217544044825,-0.0903882158978346,-0.0797908081174564,0.06002881579044077,-0.18951483273608866,0.2113263490954135,-0.048610735501018805,0.003796957074421443,-0.010964830416300237,0.004366059411950673,-0.0008388932442949705,-0.0005690147954812059,-0.004688028549521635,-0.9382724045038233,0.02306095774638676
