axe,eigenvalue,inertia_pct,inertia_cum_pct
1,0.11670706507740986,5.937727872359399,5.937727872359399
2,0.0996460327428276,5.06971043779294,11.007438310152338
3,0.08265934737523126,4.205475568213484,15.212913878365821
4,0.078641497298446,4.001058634482306,19.213972512848127
5,0.07640699122608631,3.8873732378183936,23.10134575066652
6,0.07473847921148981,3.8024840300582214,26.90382978072474
7,0.07392071453664927,3.760878458882124,30.664708239606867
8,0.06757484739423018,3.438018551636244,34.102726791243114
9,0.06490230843534159,3.302047271271737,37.40477406251485
10,0.05968811515179954,3.036763753337144,40.441537815851994
11,0.05421087180056195,2.7580969863443565,43.19963480219635
12,0.05097854945787843,2.5936454987341437,45.79328030093049
13,0.04921940400488936,2.5041451160382096,48.2974254169687
14,0.04798752802318626,2.4414707239866487,50.73889614095535
15,0.04545699640858356,2.312724378682302,53.05162051963765
16,0.044995373394552125,2.289238295512282,55.340858815149936
17,0.04348909946428119,2.2126033060774453,57.55346212122738
18,0.04119266790485154,2.0957673144573414,59.649229435684724
19,0.04046446668752636,2.058718480593429,61.70794791627815
20,0.03908445578137306,1.988507399403174,63.69645531568133
21,0.037574067480273324,1.9116630823296794,65.608118398011
22,0.03686958581215108,1.8758210325480216,67.48393943055902
23,0.03633742983624737,1.8487464302652012,69.33268586082421
24,0.034779230904138946,1.7694696424912648,71.10215550331547
25,0.0336687855057174,1.712973297659292,72.81512880097476
26,0.03274763515249967,1.6661077533727762,74.48123655434753
27,0.031562022747861865,1.6057871222596252,76.08702367660716
28,0.031193582949584856,1.5870419395402688,77.67406561614743
29,0.02928347621887112,1.4898610707846585,79.16392668693209
30,0.028332267795896326,1.4414662562824325,80.60539294321453
31,0.027585234007575753,1.403459274069632,82.00885221728416
32,0.026100689008956707,1.327929791683751,83.33678200896792
33,0.02537810881030621,1.2911669394717087,84.62794894843962
34,0.024548604581202626,1.2489640927278425,85.87691304116747
35,0.024019811516935,1.2220605859493143,87.09897362711678
36,0.023851041471922872,1.2134740397995745,88.31244766691636
37,0.022484886502323442,1.1439679097673234,89.45641557668368
38,0.02187503493898994,1.1129403740889525,90.56935595077263
39,0.021487905039818914,1.0932442914995495,91.66260024227218
40,0.019680624257746915,1.001294918376589,92.66389516064876
41,0.018350199562020515,0.9336066443834921,93.59750180503225
42,0.017755382954763557,0.9033440450669101,94.50084585009917
43,0.017506480267687537,0.8906805750226917,95.39152642512185
44,0.016895544044187652,0.8595978548797154,96.25112428000156
45,0.015734643872905102,0.8005345128320073,97.05165879283356
46,0.01514829722729532,0.7707028413887027,97.82236163422226
47,0.014144196935532453,0.7196170370709434,98.54197867129321
48,0.013115597373551405,0.6672847786543641,99.20926344994757
49,0.006226315175667016,0.3167774387620034,99.52604088870957
50,0.005105889165979144,0.25977330844455077,99.78581419715412
51,0.0024793461129514146,0.12614217065893055,99.91195636781306
52,0.0011390963195655882,0.05795402327614347,99.9699103910892
53,0.0003631819834845295,0.01847767986149345,99.98838807095069
54,0.0001349681159004847,0.006866798879147409,99.99525486982984
55,9.32663516004826e-05,0.00474513016914732,99.99999999999898
56,9.103795756165738e-32,4.631755735593056e-30,99.99999999999898
57,8.679763259134455e-33,4.4160199037701235e-31,99.99999999999898
